infid;genero;edad;anoscasado;hijos;religiosidad;educacion;ocupacion;valoracion
0;mujer;27;4;no;3;17;5;5
0;mujer;32;10;si;5;14;4;5
0;mujer;22;0.125;no;2;12;5;5
0;hombre;47;15;si;4;14;4;3
0;hombre;32;15;si;1;14;5;5
0;hombre;27;7;si;4;16;5;5
0;mujer;22;1.5;si;3;16;5;5
0;hombre;27;4;si;3;17;6;5
0;mujer;22;1.5;no;3;16;5;5
0;hombre;57;15;si;2;14;7;2
0;hombre;17.5;1.5;si;3;18;6;5
0;hombre;57;15;si;4;20;6;5
0;mujer;22;0.75;no;2;16;3;4
0;hombre;42;4;no;4;17;3;3
0;mujer;22;1.5;si;4;12;1;5
0;mujer;22;0.417;no;1;17;6;4
0;mujer;32;15;si;4;17;5;5
0;mujer;27;1.5;no;3;18;5;2
0;mujer;22;1.5;si;3;14;1;5
0;mujer;37;15;si;3;14;1;4
0;mujer;32;15;si;4;14;3;4
0;hombre;37;10;si;2;14;5;3
0;hombre;37;10;si;4;16;5;4
0;hombre;57;15;si;5;20;5;3
0;hombre;27;0.417;no;1;16;3;4
0;mujer;42;15;si;5;14;1;5
0;hombre;57;15;si;3;16;6;1
0;hombre;37;10;si;1;16;6;4
0;hombre;37;15;si;3;17;5;5
0;hombre;37;15;si;4;20;6;5
0;mujer;27;10;si;5;14;1;5
0;hombre;37;10;si;2;18;6;4
0;mujer;22;0.125;no;4;12;4;5
0;hombre;57;15;si;5;20;6;5
0;mujer;37;15;si;4;18;6;4
0;hombre;22;4;si;4;14;6;4
0;hombre;27;7;si;4;18;5;4
0;hombre;57;15;si;4;20;5;4
0;hombre;32;15;si;3;14;6;3
0;mujer;22;1.5;no;2;14;5;4
0;mujer;32;7;si;4;17;1;5
0;mujer;37;15;si;4;17;6;5
0;mujer;32;1.5;no;5;18;5;5
0;hombre;42;10;si;5;20;7;4
0;mujer;27;7;no;3;16;5;4
0;hombre;37;15;no;4;20;6;5
0;hombre;37;15;si;4;14;3;2
0;hombre;32;10;no;5;18;6;4
0;mujer;22;0.75;no;4;16;1;5
0;mujer;27;7;si;4;12;2;4
0;mujer;27;7;si;2;16;2;5
0;mujer;42;15;si;5;18;5;4
0;hombre;42;15;si;4;17;5;3
0;mujer;27;7;si;2;16;1;2
0;mujer;22;1.5;no;3;16;5;5
0;hombre;37;15;si;5;20;6;5
0;mujer;22;0.125;no;2;14;4;5
0;hombre;27;1.5;no;4;16;5;5
0;hombre;32;1.5;no;2;18;6;5
0;hombre;27;1.5;no;2;17;6;5
0;mujer;27;10;si;4;16;1;3
0;hombre;42;15;si;4;18;6;5
0;mujer;27;1.5;no;2;16;6;5
0;hombre;27;4;no;2;18;6;3
0;mujer;32;10;si;3;14;5;3
0;mujer;32;15;si;3;18;5;4
0;mujer;22;0.75;no;2;18;6;5
0;mujer;37;15;si;2;16;1;4
0;hombre;27;4;si;4;20;5;5
0;hombre;27;4;no;1;20;5;4
0;mujer;27;10;si;2;12;1;4
0;mujer;32;15;si;5;18;6;4
0;hombre;27;7;si;5;12;5;3
0;hombre;52;15;si;2;18;5;4
0;hombre;27;4;no;3;20;6;3
0;hombre;37;4;si;1;18;5;4
0;hombre;27;4;si;4;14;5;4
0;mujer;52;15;si;5;12;1;3
0;mujer;57;15;si;4;16;6;4
0;hombre;27;7;si;1;16;5;4
0;hombre;37;7;si;4;20;6;3
0;hombre;22;0.75;no;2;14;4;3
0;hombre;32;4;si;2;18;5;3
0;hombre;37;15;si;4;20;6;3
0;hombre;22;0.75;si;2;14;4;3
0;hombre;42;15;si;4;20;6;3
0;mujer;52;15;si;5;17;1;1
0;mujer;37;15;si;4;14;1;2
0;hombre;27;7;si;4;14;5;3
0;hombre;32;4;si;2;16;5;5
0;mujer;27;4;si;2;18;6;5
0;mujer;27;4;si;2;18;5;5
0;hombre;37;15;si;5;18;6;5
0;mujer;47;15;si;5;12;5;4
0;mujer;32;10;si;3;17;1;4
0;mujer;27;1.5;si;4;17;1;2
0;mujer;57;15;si;2;18;5;2
0;mujer;22;1.5;no;4;14;5;4
0;hombre;42;15;si;3;14;3;4
0;hombre;57;15;si;4;9;2;2
0;hombre;57;15;si;4;20;6;5
0;mujer;22;0.125;no;4;14;4;5
0;mujer;32;10;si;4;14;1;5
0;mujer;42;15;si;3;18;5;4
0;mujer;27;1.5;no;2;18;6;5
0;hombre;32;0.125;si;2;18;5;2
0;mujer;27;4;no;3;16;5;4
0;mujer;27;10;si;2;16;1;4
0;mujer;32;7;si;4;16;1;3
0;mujer;37;15;si;4;14;5;4
0;mujer;42;15;si;5;17;6;2
0;hombre;32;1.5;si;4;14;6;5
0;mujer;32;4;si;3;17;5;3
0;mujer;37;7;no;4;18;5;5
0;mujer;22;0.417;si;3;14;3;5
0;mujer;27;7;si;4;14;1;5
0;hombre;27;0.75;no;3;16;5;5
0;hombre;27;4;si;2;20;5;5
0;hombre;32;10;si;4;16;4;5
0;hombre;32;15;si;1;14;5;5
0;hombre;22;0.75;no;3;17;4;5
0;mujer;27;7;si;4;17;1;4
0;hombre;27;0.417;si;4;20;5;4
0;hombre;37;15;si;4;20;5;4
0;mujer;37;15;si;2;14;1;3
0;hombre;22;4;si;1;18;5;4
0;hombre;37;15;si;4;17;5;3
0;mujer;22;1.5;no;2;14;4;5
0;hombre;52;15;si;4;14;6;2
0;mujer;22;1.5;no;4;17;5;5
0;hombre;32;4;si;5;14;3;5
0;hombre;32;4;si;2;14;3;5
0;mujer;22;1.5;no;3;16;6;5
0;hombre;27;0.75;no;2;18;3;3
0;mujer;22;7;si;2;14;5;2
0;mujer;27;0.75;no;2;17;5;3
0;mujer;37;15;si;4;12;1;2
0;mujer;22;1.5;no;1;14;1;5
0;mujer;37;10;no;2;12;4;4
0;mujer;37;15;si;4;18;5;3
0;mujer;42;15;si;3;12;3;3
0;hombre;22;4;no;2;18;5;5
0;hombre;52;7;si;2;20;6;2
0;hombre;27;0.75;no;2;17;5;5
0;mujer;27;4;no;2;17;4;5
0;hombre;42;1.5;no;5;20;6;5
0;hombre;22;1.5;no;4;17;6;5
0;hombre;22;4;no;4;17;5;3
0;mujer;22;4;si;1;14;5;4
0;hombre;37;15;si;5;20;4;5
0;mujer;37;10;si;3;16;6;3
0;hombre;42;15;si;4;17;6;5
0;mujer;47;15;si;4;17;5;5
0;hombre;22;1.5;no;4;16;5;4
0;mujer;32;10;si;3;12;1;4
0;mujer;22;7;si;1;14;3;5
0;mujer;32;10;si;4;17;5;4
0;hombre;27;1.5;si;2;16;2;4
0;hombre;37;15;si;4;14;5;5
0;hombre;42;4;si;3;14;4;5
0;mujer;37;15;si;5;14;5;4
0;mujer;32;7;si;4;17;5;5
0;mujer;42;15;si;4;18;6;5
0;hombre;27;4;no;4;18;6;4
0;hombre;22;0.75;no;4;18;6;5
0;hombre;27;4;si;4;14;5;3
0;mujer;22;0.75;no;5;18;1;5
0;mujer;52;15;si;5;9;5;5
0;hombre;32;10;si;3;14;5;5
0;mujer;37;15;si;4;16;4;4
0;hombre;32;7;si;2;20;5;4
0;mujer;42;15;si;3;18;1;4
0;hombre;32;15;si;1;16;5;5
0;hombre;27;4;si;3;18;5;5
0;mujer;32;15;si;4;12;3;4
0;hombre;22;0.75;si;3;14;2;4
0;mujer;22;1.5;no;3;16;5;3
0;mujer;42;15;si;4;14;3;5
0;mujer;52;15;si;3;16;5;4
0;hombre;37;15;si;5;20;6;4
0;mujer;47;15;si;4;12;2;3
0;hombre;57;15;si;2;20;6;4
0;hombre;32;7;si;4;17;5;5
0;mujer;27;7;si;4;17;1;4
0;hombre;22;1.5;no;1;18;6;5
0;mujer;22;4;si;3;9;1;4
0;mujer;22;1.5;no;2;14;1;5
0;hombre;42;15;si;2;20;6;4
0;hombre;57;15;si;4;9;2;4
0;mujer;27;7;si;2;18;1;5
0;mujer;22;4;si;3;14;1;5
0;hombre;37;15;si;4;14;5;3
0;hombre;32;7;si;1;18;6;4
0;mujer;22;1.5;no;2;14;5;5
0;mujer;22;1.5;si;3;12;1;3
0;hombre;52;15;si;2;14;5;5
0;mujer;37;15;si;2;14;1;1
0;mujer;32;10;si;2;14;5;5
0;hombre;42;15;si;4;20;4;5
0;mujer;27;4;si;3;18;4;5
0;hombre;37;15;si;4;20;6;5
0;hombre;27;1.5;no;3;18;5;5
0;mujer;22;0.125;no;2;16;6;3
0;hombre;32;10;si;2;20;6;3
0;mujer;27;4;no;4;18;5;4
0;mujer;27;7;si;2;12;5;1
0;hombre;32;4;si;5;18;6;3
0;mujer;37;15;si;2;17;5;5
0;hombre;47;15;no;4;20;6;4
0;hombre;27;1.5;no;1;18;5;5
0;hombre;37;15;si;4;20;6;4
0;mujer;32;15;si;4;18;1;4
0;mujer;32;7;si;4;17;5;4
0;mujer;42;15;si;3;14;1;3
0;mujer;27;7;si;3;16;1;4
0;hombre;27;1.5;no;3;16;4;2
0;hombre;22;1.5;no;3;16;3;5
0;hombre;27;4;si;3;16;4;2
0;mujer;27;7;si;3;12;1;2
0;mujer;37;15;si;2;18;5;4
0;mujer;37;7;si;3;14;4;4
0;hombre;22;1.5;no;2;16;5;5
0;hombre;37;15;si;5;20;5;4
0;mujer;22;1.5;no;4;16;5;3
0;mujer;32;10;si;4;16;1;5
0;hombre;27;4;no;2;17;5;3
0;mujer;22;0.417;no;4;14;5;5
0;mujer;27;4;no;2;18;5;5
0;hombre;37;15;si;4;18;5;3
0;hombre;37;10;si;5;20;7;4
0;mujer;27;7;si;2;14;4;2
0;hombre;32;4;si;2;16;5;5
0;hombre;32;4;si;2;16;6;4
0;hombre;22;1.5;no;3;18;4;5
0;mujer;22;4;si;4;14;3;4
0;mujer;17.5;0.75;no;2;18;5;4
0;hombre;32;10;si;4;20;4;5
0;mujer;32;0.75;no;5;14;3;3
0;hombre;37;15;si;4;17;5;3
0;hombre;32;4;no;3;14;4;5
0;mujer;27;1.5;no;2;17;3;2
0;mujer;22;7;si;4;14;1;5
0;hombre;47;15;si;5;14;6;5
0;hombre;27;4;si;1;16;4;4
0;mujer;37;15;si;5;14;1;3
0;hombre;42;4;si;4;18;5;5
0;mujer;32;4;si;2;14;1;5
0;hombre;52;15;si;2;14;7;4
0;mujer;22;1.5;no;2;16;1;4
0;hombre;52;15;si;4;12;2;4
0;mujer;22;0.417;no;3;17;1;5
0;mujer;22;1.5;no;2;16;5;5
0;hombre;27;4;si;4;20;6;4
0;mujer;32;15;si;4;14;1;5
0;mujer;27;1.5;no;2;16;3;5
0;hombre;32;4;no;1;20;6;5
0;hombre;37;15;si;3;20;6;4
0;mujer;32;10;no;2;16;6;5
0;mujer;32;10;si;5;14;5;5
0;hombre;37;1.5;si;4;18;5;3
0;hombre;32;1.5;no;2;18;4;4
0;mujer;32;10;si;4;14;1;4
0;mujer;47;15;si;4;18;5;4
0;mujer;27;10;si;5;12;1;5
0;hombre;27;4;si;3;16;4;5
0;mujer;37;15;si;4;12;4;2
0;mujer;27;0.75;no;4;16;5;5
0;mujer;37;15;si;4;16;1;5
0;mujer;32;15;si;3;16;1;5
0;mujer;27;10;si;2;16;1;5
0;hombre;27;7;no;2;20;6;5
0;mujer;37;15;si;2;14;1;3
0;hombre;27;1.5;si;2;17;4;4
0;mujer;22;0.75;si;2;14;1;5
0;hombre;22;4;si;4;14;2;4
0;hombre;42;0.125;no;4;17;6;4
0;hombre;27;1.5;si;4;18;6;5
0;hombre;27;7;si;3;16;6;3
0;mujer;52;15;si;4;14;1;3
0;hombre;27;1.5;no;5;20;5;2
0;mujer;27;1.5;no;2;16;5;5
0;mujer;27;1.5;no;3;17;5;5
0;hombre;22;0.125;no;5;16;4;4
0;mujer;27;4;si;4;16;1;5
0;mujer;27;4;si;4;12;1;5
0;mujer;47;15;si;2;14;5;5
0;mujer;32;15;si;3;14;5;3
0;hombre;42;7;si;2;16;5;5
0;hombre;22;0.75;no;4;16;6;4
0;hombre;27;0.125;no;3;20;6;5
0;hombre;32;10;si;3;20;6;5
0;mujer;22;0.417;no;5;14;4;5
0;mujer;47;15;si;5;14;1;4
0;mujer;32;10;si;3;14;1;5
0;hombre;57;15;si;4;17;5;5
0;hombre;27;4;si;3;20;6;5
0;mujer;32;7;si;4;17;1;5
0;mujer;37;10;si;4;16;1;5
0;mujer;32;10;si;1;18;1;4
0;mujer;22;4;no;3;14;1;4
0;mujer;27;7;si;4;14;3;2
0;hombre;57;15;si;5;18;5;2
0;hombre;32;7;si;2;18;5;5
0;mujer;27;1.5;no;4;17;1;3
0;hombre;22;1.5;no;4;14;5;5
0;mujer;22;1.5;si;4;14;5;4
0;mujer;32;7;si;3;16;1;5
0;mujer;47;15;si;3;16;5;4
0;mujer;22;0.75;no;3;16;1;5
0;mujer;22;1.5;si;2;14;5;5
0;mujer;27;4;si;1;16;5;5
0;hombre;52;15;si;4;16;5;5
0;hombre;32;10;si;4;20;6;5
0;hombre;47;15;si;4;16;6;4
0;mujer;27;7;si;2;14;1;2
0;mujer;22;1.5;no;4;14;4;5
0;mujer;32;10;si;2;16;5;4
0;mujer;22;0.75;no;2;16;5;4
0;mujer;22;1.5;no;2;16;5;5
0;mujer;42;15;si;3;18;6;4
0;mujer;27;7;si;5;14;4;5
0;hombre;42;15;si;4;16;4;4
0;mujer;57;15;si;3;18;5;2
0;hombre;42;15;si;3;18;6;2
0;mujer;32;7;si;2;14;1;2
0;hombre;22;4;no;5;12;4;5
0;mujer;22;1.5;no;1;16;6;5
0;mujer;22;0.75;no;1;14;4;5
0;mujer;32;15;si;4;12;1;5
0;hombre;22;1.5;no;2;18;5;3
0;hombre;27;4;si;5;17;2;5
0;mujer;27;4;si;4;12;1;5
0;hombre;42;15;si;5;18;5;4
0;hombre;32;1.5;no;2;20;7;3
0;hombre;57;15;no;4;9;3;1
0;hombre;37;7;no;4;18;5;5
0;hombre;52;15;si;2;17;5;4
0;hombre;47;15;si;4;17;6;5
0;mujer;27;7;no;2;17;5;4
0;mujer;27;7;si;4;14;5;5
0;mujer;22;4;no;2;14;3;3
0;hombre;37;7;si;2;20;6;5
0;hombre;27;7;no;4;12;4;3
0;hombre;42;10;si;4;18;6;4
0;mujer;22;1.5;no;3;14;1;5
0;mujer;22;4;si;2;14;1;3
0;mujer;57;15;no;4;20;6;5
0;hombre;37;15;si;4;14;4;3
0;mujer;27;7;si;3;18;5;5
0;mujer;17.5;10;no;4;14;4;5
0;hombre;22;4;si;4;16;5;5
0;mujer;27;4;si;2;16;1;4
0;mujer;37;15;si;2;14;5;1
0;mujer;22;1.5;no;5;14;1;4
0;hombre;27;7;si;2;20;5;4
0;hombre;27;4;si;4;14;5;5
0;hombre;22;0.125;no;1;16;3;5
0;mujer;27;7;si;4;14;1;4
0;mujer;32;15;si;5;16;5;3
0;hombre;32;10;si;4;18;5;4
0;mujer;32;15;si;2;14;3;4
0;mujer;22;1.5;no;3;17;5;5
0;hombre;27;4;si;4;17;4;4
0;mujer;52;15;si;5;14;1;5
0;mujer;27;7;si;2;12;1;2
0;mujer;27;7;si;3;12;1;4
0;mujer;42;15;si;2;14;1;4
0;mujer;42;15;si;4;14;5;4
0;hombre;27;7;si;4;14;3;3
0;hombre;27;7;si;2;20;6;2
0;mujer;42;15;si;3;12;3;3
0;hombre;27;4;si;3;16;3;5
0;mujer;27;7;si;3;14;1;4
0;mujer;22;1.5;no;2;14;4;5
0;mujer;27;4;si;4;14;1;4
0;mujer;22;4;no;4;14;5;5
0;mujer;22;1.5;no;2;16;4;5
0;hombre;47;15;no;4;14;5;4
0;hombre;37;10;si;2;18;6;2
0;hombre;37;15;si;3;17;5;4
0;mujer;27;4;si;2;16;1;4
3;hombre;27;1.5;no;3;18;4;4
3;mujer;27;4;si;3;17;1;5
7;hombre;37;15;si;5;18;6;2
12;mujer;32;10;si;3;17;5;2
1;hombre;22;0.125;no;4;16;5;5
1;mujer;22;1.5;si;2;14;1;5
12;hombre;37;15;si;4;14;5;2
7;mujer;22;1.5;no;2;14;3;4
2;hombre;37;15;si;2;18;6;4
3;mujer;32;15;si;4;12;3;2
1;mujer;37;15;si;4;14;4;2
7;mujer;42;15;si;3;17;1;4
12;mujer;42;15;si;5;9;4;1
12;hombre;37;10;si;2;20;6;2
12;mujer;32;15;si;3;14;1;2
3;hombre;27;4;no;1;18;6;5
7;hombre;37;10;si;2;18;7;3
7;mujer;27;4;no;3;17;5;5
1;hombre;42;15;si;4;16;5;5
1;mujer;47;15;si;5;14;4;5
7;mujer;27;4;si;3;18;5;4
1;mujer;27;7;si;5;14;1;4
12;hombre;27;1.5;si;3;17;5;4
12;mujer;27;7;si;4;14;6;2
3;mujer;42;15;si;4;16;5;4
7;mujer;27;10;si;4;12;7;3
1;hombre;27;1.5;no;2;18;5;2
1;hombre;32;4;no;4;20;6;4
1;mujer;27;7;si;3;14;1;3
3;mujer;32;10;si;4;14;1;4
3;hombre;27;4;si;2;18;7;2
1;mujer;17.5;0.75;no;5;14;4;5
1;mujer;32;10;si;4;18;1;5
7;mujer;32;7;si;2;17;6;4
7;hombre;37;15;si;2;20;6;4
7;mujer;37;10;no;1;20;5;3
12;mujer;32;10;si;2;16;5;5
7;hombre;52;15;si;2;20;6;4
7;mujer;42;15;si;1;12;1;3
1;hombre;52;15;si;2;20;6;3
2;hombre;37;15;si;3;18;6;5
12;mujer;22;4;no;3;12;3;4
12;hombre;27;7;si;1;18;6;2
1;hombre;27;4;si;3;18;5;5
12;hombre;47;15;si;4;17;6;5
12;mujer;42;15;si;4;12;1;1
7;hombre;27;4;no;3;14;3;4
7;mujer;32;7;si;4;18;4;5
1;hombre;32;0.417;si;3;12;3;4
3;hombre;47;15;si;5;16;5;4
12;hombre;37;15;si;2;20;5;4
7;hombre;22;4;si;2;17;6;4
1;hombre;27;4;no;2;14;4;5
7;mujer;52;15;si;5;16;1;3
1;hombre;27;4;no;3;14;3;3
1;mujer;27;10;si;4;16;1;4
1;hombre;32;7;si;3;14;7;4
7;hombre;32;7;si;2;18;4;1
3;hombre;22;1.5;no;1;14;3;2
7;hombre;22;4;si;3;18;6;4
7;hombre;42;15;si;4;20;6;4
2;mujer;57;15;si;1;18;5;4
7;mujer;32;4;si;3;18;5;2
1;hombre;27;4;si;1;16;4;4
7;hombre;32;7;si;4;16;1;4
2;hombre;57;15;si;1;17;4;4
7;mujer;42;15;si;4;14;5;2
7;hombre;37;10;si;1;18;5;3
3;hombre;42;15;si;3;17;6;1
1;mujer;52;15;si;3;14;4;4
2;mujer;27;7;si;3;17;5;3
12;hombre;32;7;si;2;12;4;2
1;hombre;22;4;no;4;14;2;5
3;hombre;27;7;si;3;18;6;4
12;mujer;37;15;si;1;18;5;5
7;mujer;32;15;si;3;17;1;3
7;mujer;27;7;no;2;17;5;5
1;mujer;32;7;si;3;17;5;3
1;hombre;32;1.5;si;2;14;2;4
12;mujer;42;15;si;4;14;1;2
7;hombre;32;10;si;3;14;5;4
7;hombre;37;4;si;1;20;6;3
1;mujer;27;4;si;2;16;5;3
12;mujer;42;15;si;3;14;4;3
1;hombre;27;10;si;5;20;6;5
12;hombre;37;10;si;2;20;6;2
12;mujer;27;7;si;1;14;3;3
3;mujer;27;7;si;4;12;1;2
3;hombre;32;10;si;2;14;4;4
12;mujer;17.5;0.75;si;2;12;1;3
12;mujer;32;15;si;3;18;5;4
2;mujer;22;7;no;4;14;4;3
1;hombre;32;7;si;4;20;6;5
7;hombre;27;4;si;2;18;6;2
1;mujer;22;1.5;si;5;14;5;3
12;mujer;32;15;no;3;17;5;1
12;mujer;42;15;si;2;12;1;2
7;hombre;42;15;si;3;20;5;4
12;hombre;32;10;no;2;18;4;2
12;mujer;32;15;si;3;9;1;1
7;hombre;57;15;si;5;20;4;5
12;hombre;47;15;si;4;20;6;4
2;mujer;42;15;si;2;17;6;3
12;hombre;37;15;si;3;17;6;3
12;hombre;37;15;si;5;17;5;2
7;hombre;27;10;si;2;20;6;4
2;hombre;37;15;si;2;16;5;4
12;mujer;32;15;si;1;14;5;2
7;hombre;32;10;si;3;17;6;3
2;hombre;37;15;si;4;18;5;1
7;mujer;27;1.5;no;2;17;5;5
3;mujer;47;15;si;2;17;5;2
12;hombre;37;15;si;2;17;5;4
12;mujer;27;4;no;2;14;5;5
2;mujer;27;10;si;4;14;1;5
1;mujer;22;4;si;3;16;1;3
12;hombre;52;7;no;4;16;5;5
2;mujer;27;4;si;1;16;3;5
7;mujer;37;15;si;2;17;6;4
2;mujer;27;4;no;1;17;3;1
12;mujer;17.5;0.75;si;2;12;3;5
7;mujer;32;15;si;5;18;5;4
7;mujer;22;4;no;1;16;3;5
2;hombre;32;4;si;4;18;6;4
1;mujer;22;1.5;si;3;18;5;2
3;mujer;42;15;si;2;17;5;4
1;hombre;32;7;si;4;16;4;4
12;hombre;37;15;no;3;14;6;2
1;hombre;42;15;si;3;16;6;3
1;hombre;27;4;si;1;18;5;4
2;hombre;37;15;si;4;20;7;3
7;hombre;37;15;si;3;20;6;4
3;hombre;22;1.5;no;2;12;3;3
3;hombre;32;4;si;3;20;6;2
2;hombre;32;15;si;5;20;6;5
12;mujer;52;15;si;1;18;5;5
12;hombre;47;15;no;1;18;6;5
3;mujer;32;15;si;4;16;4;4
7;mujer;32;15;si;3;14;3;2
7;mujer;27;7;si;4;16;1;2
12;hombre;42;15;si;3;18;6;2
7;mujer;42;15;si;2;14;3;2
12;hombre;27;7;si;2;17;5;4
3;hombre;32;10;si;4;14;4;3
7;hombre;47;15;si;3;16;4;2
1;hombre;22;1.5;si;1;12;2;5
7;mujer;32;10;si;2;18;5;4
2;hombre;32;10;si;2;17;6;5
2;hombre;22;7;si;3;18;6;2
1;mujer;32;15;si;3;14;1;5
