"""obs"",""count"",""pesca"",""nopesca"",""cebovivo"",""acampada"",""personas"",""menores"",""xb"",""zg"""
"65,0,0,""0"",""1"",""0"",4,3,1.88577580451965,-4.23251962661743"
"66,0,0,""0"",""1"",""1"",1,0,-2.27253007888794,1.60075318813324"
"67,1,1,""0"",""1"",""0"",1,0,0.613840997219086,1.1117559671402"
"68,0,0,""1"",""1"",""0"",3,2,2.8789975643158,-2.76606702804565"
"69,0,0,""1"",""1"",""1"",1,0,-0.944848835468292,2.01160788536072"
"70,0,0,""0"",""1"",""1"",2,1,0.820035219192505,-1.28543794155121"
"71,7,7,""0"",""1"",""1"",3,0,2.08818364143372,2.26874828338623"
"72,0,0,""0"",""1"",""0"",4,3,2.16530632972717,-5.03517818450928"
"73,0,0,""1"",""0"",""0"",4,2,0.557526350021362,-2.69665169715881"
"74,0,0,""0"",""1"",""1"",3,2,-0.627695500850677,-3.2243115901947"
"75,0,0,""1"",""0"",""1"",1,0,-3.27505016326904,0.913391828536987"
"76,0,0,""0"",""1"",""0"",2,0,0.307397574186325,-0.431482762098312"
"77,0,0,""0"",""1"",""0"",3,2,0.459303736686707,-3.14010667800903"
"78,0,0,""1"",""1"",""1"",1,0,-0.188099160790443,3.26744532585144"
"79,0,0,""0"",""1"",""0"",2,1,-0.197423219680786,-0.238331913948059"
"80,2,2,""0"",""1"",""0"",4,0,0.901133239269257,1.39392220973969"
"81,3,3,""0"",""1"",""1"",4,1,2.2297375202179,-0.410112112760544"
"82,1,1,""1"",""1"",""0"",2,1,1.15007889270782,-0.320476442575455"
"83,5,5,""0"",""1"",""1"",3,0,1.71653091907501,2.65405988693237"
"84,0,0,""0"",""1"",""0"",1,0,-0.465738385915756,0.246082529425621"
"85,2,2,""0"",""1"",""1"",1,0,1.01957333087921,1.71884417533875"
"86,1,1,""1"",""0"",""0"",3,1,1.86741375923157,-0.54847913980484"
"87,0,0,""1"",""0"",""0"",4,1,0.714378535747528,-2.55068111419678"
"88,1,1,""1"",""1"",""1"",1,0,0.0440081208944321,2.26295495033264"
"89,149,149,""0"",""1"",""1"",4,0,5.00503969192505,3.57213425636292"
"90,0,0,""0"",""1"",""1"",3,2,2.46155643463135,-2.76987242698669"
"91,1,1,""0"",""1"",""1"",3,1,1.57041680812836,-0.39061626791954"
"92,0,0,""0"",""1"",""0"",2,0,-1.49085247516632,0.0889994576573372"
"93,0,0,""0"",""1"",""1"",3,0,-0.865133345127106,0.972079753875732"
"94,1,1,""0"",""1"",""0"",2,1,0.833803176879883,0.0233576856553555"
"95,0,0,""0"",""1"",""0"",4,2,2.20849990844727,-1.73437333106995"
"96,0,0,""0"",""1"",""1"",3,1,1.63320791721344,-1.5012526512146"
"97,0,0,""0"",""1"",""0"",4,2,1.52400970458984,-4.32427978515625"
"98,2,2,""1"",""0"",""0"",4,0,2.49137473106384,-0.722057521343231"
"99,2,2,""0"",""1"",""1"",2,0,1.08476901054382,2.96300268173218"
"100,29,29,""0"",""1"",""0"",4,0,3.59467720985413,0.860208868980408"
"101,3,3,""0"",""1"",""1"",1,0,1.12883460521698,2.06070041656494"
"102,0,0,""1"",""0"",""1"",2,0,-0.385939925909042,2.26627635955811"
"103,0,0,""0"",""1"",""0"",4,2,2.21350955963135,-2.0680947303772"
"104,5,5,""1"",""0"",""0"",3,0,2.51877808570862,-0.110921405255795"
"105,0,0,""0"",""1"",""1"",2,0,0.0115894842892885,-0.339218020439148"
"106,0,0,""0"",""1"",""0"",4,1,3.29880619049072,-2.6714301109314"
"107,0,0,""0"",""1"",""1"",1,0,-0.258302956819534,0.714798092842102"
"108,0,0,""0"",""1"",""0"",3,1,0.931161046028137,-1.92523181438446"
"109,0,0,""0"",""1"",""1"",4,1,3.23434066772461,-1.93412053585052"
"110,1,1,""0"",""1"",""1"",4,1,0.566562116146088,1.36115145683289"
"111,7,7,""0"",""1"",""1"",1,0,1.97409510612488,3.17808413505554"
"112,1,1,""0"",""1"",""1"",2,0,0.109922774136066,2.12449860572815"
"113,0,0,""0"",""1"",""0"",1,0,-1.05219602584839,-1.83770942687988"
"114,2,2,""1"",""0"",""0"",4,1,1.19321036338806,0.732807636260986"
"115,0,0,""0"",""1"",""0"",3,2,0.351580232381821,-2.18426823616028"
"116,2,2,""1"",""1"",""0"",2,0,1.18006312847137,1.29395890235901"
"117,0,0,""0"",""1"",""0"",2,1,0.442351251840591,-0.25275069475174"
"118,0,0,""0"",""1"",""0"",4,1,0.339507728815079,-0.76818972826004"
"119,0,0,""1"",""0"",""1"",3,1,0.368057548999786,-0.848371207714081"
"120,1,1,""1"",""1"",""1"",3,2,2.4312150478363,-0.945337653160095"
"121,0,0,""0"",""1"",""0"",2,1,-0.267399877309799,-1.62042915821075"
"122,0,0,""1"",""1"",""0"",1,0,-0.366596519947052,2.51454162597656"
"123,0,0,""1"",""0"",""1"",4,3,1.48165833950043,-2.82096076011658"
"124,0,0,""0"",""1"",""0"",1,0,-0.620765745639801,0.583114087581635"
"125,0,0,""1"",""0"",""1"",4,3,1.59366858005524,-2.94739961624146"
"126,3,3,""0"",""1"",""0"",4,1,2.82429432868958,-0.742032945156097"
"127,4,4,""0"",""1"",""1"",1,0,1.4875385761261,2.26522541046143"
"128,3,3,""0"",""1"",""1"",3,0,1.13907301425934,3.44869875907898"
"129,3,3,""0"",""1"",""0"",2,0,1.41582179069519,1.2972024679184"
"130,8,8,""0"",""1"",""1"",4,0,2.17207789421082,4.26318502426147"
"131,2,2,""1"",""0"",""1"",3,0,0.818082451820374,3.05859684944153"
"132,1,1,""1"",""1"",""1"",1,0,0.332590669393539,2.04585909843445"
"133,6,6,""0"",""1"",""0"",4,0,1.85684275627136,2.51679587364197"
"134,0,0,""1"",""1"",""1"",4,2,0.593688666820526,-1.97720789909363"
"135,0,0,""0"",""1"",""1"",2,1,0.0617640055716038,1.26980745792389"
"136,5,5,""1"",""1"",""0"",4,0,1.9847823381424,0.82461416721344"
"137,3,3,""0"",""1"",""1"",4,1,1.96385633945465,0.0315203703939915"
"138,31,31,""0"",""1"",""0"",3,1,3.72607254981995,0.701675057411194"
"139,0,0,""0"",""1"",""1"",2,1,0.349324911832809,-0.161479443311691"
"140,2,2,""0"",""1"",""0"",2,0,0.704055547714233,2.3449170589447"
"141,0,0,""1"",""1"",""1"",4,3,1.56924378871918,-4.46927881240845"
"142,0,0,""0"",""1"",""1"",2,1,0.781064867973328,-1.89013671875"
"143,0,0,""1"",""0"",""0"",3,0,0.139555037021637,0.339156687259674"
"144,0,0,""0"",""1"",""1"",3,1,1.54162049293518,-1.53107023239136"
"145,0,0,""1"",""1"",""0"",1,0,0.0718735530972481,1.30579578876495"
"146,0,0,""0"",""1"",""0"",2,0,0.746514856815338,-0.650594830513"
"147,6,6,""1"",""1"",""1"",4,0,1.92508244514465,3.56707787513733"
"148,9,9,""0"",""1"",""0"",3,0,2.21421217918396,2.69157195091248"
"149,0,0,""1"",""0"",""1"",3,2,-0.599701523780823,-2.05975198745728"
"150,0,0,""1"",""0"",""1"",2,1,-2.10733103752136,0.141346171498299"
"151,0,0,""0"",""1"",""1"",1,0,-2.49045538902283,2.07375955581665"
"152,0,0,""0"",""1"",""1"",2,1,-0.0704762637615204,-0.478490352630615"
"153,0,0,""0"",""1"",""0"",1,0,-0.233503744006157,0.152506366372108"
"154,2,2,""0"",""1"",""0"",2,0,2.14885878562927,-0.488574415445328"
"155,15,15,""0"",""1"",""0"",3,0,3.17375469207764,0.378390341997147"
"156,1,1,""0"",""1"",""1"",1,0,0.676705837249756,1.6237850189209"
"157,2,2,""1"",""1"",""1"",2,0,0.903368711471558,2.01538228988647"
"158,3,3,""0"",""1"",""1"",3,1,2.12147188186646,-0.0916062667965889"
"159,0,0,""1"",""1"",""1"",1,0,-1.68065655231476,2.27723503112793"
"160,65,65,""0"",""1"",""1"",4,0,4.26848793029785,1.36229598522186"
"161,5,5,""0"",""1"",""1"",3,0,1.75967121124268,1.47816967964172"
"162,0,0,""0"",""1"",""0"",1,0,0.00715987617149949,0.184564098715782"
"163,0,0,""1"",""1"",""1"",3,2,3.53381061553955,-3.25269532203674"
"164,0,0,""0"",""1"",""0"",4,1,1.90282845497131,-1.59040188789368"
"165,0,0,""0"",""1"",""0"",4,2,2.05431437492371,-3.13918924331665"
"166,1,1,""1"",""1"",""0"",1,0,0.132048606872559,2.24406719207764"
"167,8,8,""0"",""1"",""1"",4,1,2.84458875656128,-0.0782078355550766"
"168,0,0,""0"",""1"",""1"",3,0,-0.150227516889572,2.49621510505676"
"169,0,0,""0"",""1"",""1"",3,2,0.377593964338303,-2.29437232017517"
"170,0,0,""0"",""1"",""1"",4,3,1.46100187301636,-3.94337201118469"
"171,2,2,""0"",""1"",""1"",3,0,0.951952934265137,2.60630893707275"
"172,4,4,""0"",""1"",""1"",2,1,1.53107285499573,1.53726029396057"
"173,5,5,""1"",""1"",""0"",4,0,1.7160952091217,1.82690179347992"
"174,9,9,""0"",""1"",""0"",2,0,2.24204182624817,2.39861702919006"
"175,0,0,""0"",""1"",""0"",4,2,3.38903760910034,-2.89330267906189"
"176,0,0,""0"",""1"",""0"",2,0,-0.457464665174484,3.17933320999146"
"177,0,0,""0"",""1"",""1"",2,0,-0.263669461011887,1.76086807250977"
"178,0,0,""0"",""1"",""0"",1,0,-0.712437570095062,1.17716562747955"
"179,21,21,""1"",""1"",""1"",2,0,3.05391693115234,2.46910786628723"
"180,0,0,""0"",""1"",""0"",1,0,-2.70827674865723,0.347330987453461"
"181,6,6,""0"",""1"",""1"",3,0,1.87205147743225,2.30796957015991"
"182,0,0,""0"",""1"",""0"",2,1,0.16974900662899,-0.835122048854828"
"183,0,0,""1"",""0"",""1"",2,0,-0.348856091499329,2.94145750999451"
"184,0,0,""0"",""1"",""1"",2,1,0.240219220519066,-0.40317377448082"
"185,0,0,""1"",""1"",""0"",3,1,2.4038770198822,-1.56852877140045"
"186,16,16,""0"",""1"",""1"",4,1,2.98857450485229,0.950103223323822"
"187,0,0,""1"",""0"",""0"",3,2,0.00525776203721762,-3.46309995651245"
"188,0,0,""0"",""1"",""1"",3,2,0.400785356760025,-1.71905243396759"
"189,4,4,""1"",""1"",""1"",4,0,1.59231209754944,3.47214698791504"
"190,2,2,""0"",""1"",""1"",2,1,1.02253127098083,0.598669052124023"
"191,10,10,""0"",""1"",""1"",3,0,2.37734174728394,2.57861685752869"
"192,0,0,""1"",""0"",""1"",1,0,-2.11292719841003,1.63011240959167"
"193,0,0,""0"",""1"",""1"",1,0,-0.557507157325745,1.93812584877014"
"194,0,0,""1"",""0"",""0"",1,0,-1.27622103691101,0.145860224962234"
"195,2,2,""1"",""0"",""1"",2,0,1.06078600883484,2.97317552566528"
"196,1,1,""1"",""1"",""1"",2,0,0.409971445798874,1.28754341602325"
"197,3,3,""0"",""1"",""0"",1,0,1.47274768352509,1.0017284154892"
"198,0,0,""0"",""1"",""1"",3,1,1.12224495410919,-1.01499104499817"
"199,0,0,""0"",""1"",""1"",4,2,2.24237632751465,-2.38628673553467"
"200,21,21,""0"",""1"",""1"",2,0,3.16384339332581,1.29683494567871"
"201,0,0,""0"",""1"",""0"",2,1,-0.585306763648987,-2.0787627696991"
"202,0,0,""0"",""1"",""0"",2,0,-0.0156071186065674,2.29901671409607"
"203,2,2,""1"",""0"",""1"",1,0,0.834488332271576,2.20551109313965"
"204,0,0,""1"",""0"",""1"",2,1,-1.26887607574463,1.57091951370239"
"205,3,3,""0"",""1"",""1"",4,1,2.75708198547363,-0.866619527339935"
"206,0,0,""0"",""1"",""1"",3,1,1.70394921302795,-1.15458154678345"
"207,38,38,""0"",""1"",""1"",4,0,3.76500248908997,1.18927025794983"
"208,0,0,""1"",""1"",""1"",4,3,2.71905112266541,-4.61419296264648"
"209,0,0,""0"",""1"",""1"",1,0,-0.154021844267845,2.46532011032104"
"210,0,0,""0"",""1"",""0"",1,0,-0.411525636911392,0.25713512301445"
"211,1,1,""0"",""1"",""1"",1,0,0.531122028827667,2.92896556854248"
"212,3,3,""0"",""1"",""0"",1,0,1.34030616283417,3.56637215614319"
"213,0,0,""0"",""1"",""1"",1,0,-1.56205010414124,1.40677392482758"
"214,1,1,""0"",""1"",""0"",2,0,0.225383952260017,2.22099113464355"
"215,0,0,""1"",""1"",""0"",4,2,4.50266361236572,-4.73008489608765"
"216,0,0,""1"",""0"",""0"",2,1,0.162199765443802,-1.12585425376892"
"217,0,0,""0"",""1"",""0"",4,2,3.04701352119446,-3.18426299095154"
"218,0,0,""0"",""1"",""0"",3,1,1.63075339794159,-2.70765328407288"
"219,5,5,""0"",""1"",""1"",4,2,1.98325502872467,0.573806643486023"
"220,0,0,""0"",""1"",""0"",4,2,3.87711143493652,-2.17981243133545"
"221,0,0,""1"",""0"",""0"",4,1,1.5847555398941,-1.28959906101227"
"222,2,2,""0"",""1"",""0"",3,0,1.70114326477051,0.00511792534962296"
"223,0,0,""1"",""1"",""1"",2,1,-0.17060498893261,1.46986353397369"
"224,0,0,""0"",""1"",""1"",1,0,-0.4969801902771,0.957906126976013"
"225,0,0,""0"",""1"",""0"",2,1,1.21826994419098,-0.66424161195755"
"226,1,1,""0"",""1"",""1"",2,0,0.0375366136431694,2.8617730140686"
"227,4,4,""1"",""1"",""1"",3,1,1.52324414253235,3.03957271575928"
"228,0,0,""1"",""1"",""0"",1,0,-0.907698154449463,0.611488819122314"
"229,0,0,""0"",""1"",""1"",3,2,2.33137655258179,-2.35552573204041"
"230,2,2,""0"",""1"",""1"",2,1,1.06808602809906,1.37505638599396"
"231,3,3,""0"",""1"",""1"",1,0,1.40126574039459,2.14104962348938"
"232,0,0,""1"",""1"",""0"",4,2,3.93042182922363,-2.74390316009521"
"233,0,0,""0"",""1"",""0"",3,1,0.196246981620789,-1.78107392787933"
"234,0,0,""0"",""1"",""0"",2,0,0.0295273810625076,1.00220429897308"
"235,0,0,""1"",""0"",""0"",2,0,-0.766901433467865,-0.442087709903717"
"236,1,1,""0"",""1"",""1"",1,0,0.661188662052155,3.24133348464966"
"237,2,2,""0"",""1"",""1"",2,0,1.0150740146637,0.948959350585938"
"238,0,0,""0"",""1"",""1"",1,0,-1.04666805267334,0.760976612567902"
"239,6,6,""0"",""1"",""1"",3,0,1.93805480003357,2.15903425216675"
"240,4,4,""0"",""1"",""1"",2,0,1.72475051879883,0.927846848964691"
"241,1,1,""0"",""1"",""1"",2,0,0.602655231952667,3.57160902023315"
"242,1,1,""0"",""1"",""1"",4,2,2.41378164291382,-1.31639909744263"
"243,0,0,""1"",""0"",""0"",2,0,-1.20076858997345,1.05779981613159"
"244,1,1,""0"",""1"",""1"",3,1,1.96384930610657,-0.733001232147217"
"245,0,0,""0"",""1"",""0"",3,0,-0.291065692901611,1.31550824642181"
"246,0,0,""1"",""1"",""1"",2,0,-0.755235731601715,2.32420873641968"
"247,0,0,""0"",""1"",""1"",4,3,1.7948591709137,-5.62594366073608"
"248,0,0,""0"",""1"",""1"",2,1,-0.392648845911026,0.677275419235229"
"249,0,0,""1"",""1"",""1"",3,2,1.374640583992,-2.59563016891479"
"250,0,0,""1"",""1"",""1"",2,1,0.828834116458893,-1.45711541175842"
