obs,tiempo,infiel,valmat,edad,anoscas,hijos,relig,educ,ocmujer,ochombre
135,2,1,5,27,6,2,1,12,5,2
136,0.1521739,1,2,42,23,4,4,20,4,5
137,4.666666,1,3,32,6,0,2,20,4,5
138,1.3999996,1,5,27,2.5,0,2,14,3,2
139,1.1878777,1,2,42,16.5,3,3,12,3,5
140,1.826086,1,4,37,23,3,2,12,5,4
141,1.3999996,1,3,27,2.5,0,2,17,4,4
142,3.2307692,1,3,32,13,3,3,20,4,6
143,4.7999992,1,3,27,2.5,0,2,14,3,4
144,1.1878777,1,3,42,16.5,2,1,16,3,5
145,0.4,1,4,22,2.5,0,2,14,5,5
146,0.5833333,1,5,27,6,0,3,14,3,5
147,7.8399963,1,3,22,2.5,0,1,12,2,4
148,11.1999989,1,4,27,6,0,3,14,2,4
149,1.3611107,1,3,27,9,2,2,16,3,4
150,4.9777775,1,2,27,9,1,2,14,2,2
151,4.7999992,1,3,22,2.5,0,3,12,3,3
152,2.7151508,1,4,32,16.5,4,4,14,3,5
153,0.4,1,5,32,2.5,2,2,14,3,4
154,0.4,1,4,27,2.5,0,2,14,3,5
155,0.1111111,1,5,32,9,3,3,16,4,4
156,0.2692307,1,3,32,13,2,2,12,3,5
157,0.7272727,1,3,32,16.5,3,3,12,3,2
158,0.5217391,1,5,42,23,2,2,14,5,5
159,0.7424242,1,3,27,16.5,4,3,14,4,2
160,0.7272727,1,3,32,16.5,4,2,20,4,4
161,4.7999992,1,4,22,2.5,2,2,14,5,2
162,7.4666672,1,5,27,6,0,1,12,3,4
163,0.2121212,1,4,37,16.5,3,4,16,5,5
164,1.3999996,1,3,22,2.5,0,2,12,3,5
165,1.5076914,1,4,32,13,2,2,14,3,5
166,0.5217391,1,5,42,23,5.5,3,17,4,4
167,1.333333,1,2,27,6,2,3,12,2,2
168,1.3999996,1,5,22,2.5,1,2,16,3,6
169,0.5326087,1,3,42,23,2,3,12,2,2
170,1.826086,1,5,42,23,3,1,14,3,5
171,4.8999996,1,4,22,2.5,0,3,12,3,4
172,0.1111111,1,3,27,9,1,4,14,5,5
173,4.173913,1,2,37,23,3,3,12,2,4
174,0.3888888,1,3,32,9,3,3,14,4,5
175,1.1878777,1,5,37,16.5,4,3,12,3,4
176,1.333333,1,3,27,9,2,2,12,5,2
177,1.333333,1,3,27,6,1,2,17,2,2
178,1.3999996,1,5,22,2.5,0,3,14,3,3
179,1.333333,1,5,27,6,0,2,17,4,5
180,4.8999996,1,4,22,2.5,0,2,12,4,2
181,4.666666,1,4,27,6,0,2,12,3,4
182,0.1111111,1,3,32,9,1,2,12,3,3
183,0.8521735,1,1,42,23,4,3,12,3,5
184,1.333333,1,2,22,6,2,2,12,3,4
185,0.4848484,1,4,32,16.5,2,2,12,2,2
186,0.9423077,1,4,32,13,3,3,14,2,2
187,0.3888888,1,5,27,9,2,1,12,3,3
188,0.5217391,1,3,42,23,3,2,12,3,2
189,2.7151508,1,3,37,16.5,1,3,20,6,6
190,0.9423077,1,5,32,13,2,1,12,5,2
191,3.4461536,1,4,27,13,3,1,12,4,2
192,0.9230769,1,2,37,13,0,2,14,3,5
193,3.1111107,1,3,27,9,1,1,12,2,2
194,3.2666645,1,5,27,6,0,1,14,5,5
195,0.8521735,1,2,42,23,2,3,12,5,2
196,0.5833333,1,5,27,6,0,2,16,3,4
197,7.8399963,1,4,22,2.5,0,4,16,5,4
198,1.3999996,1,5,22,2.5,0,2,16,4,4
199,1.5076914,1,5,42,13,0,3,12,3,2
200,1.3999996,1,4,22,2.5,1,1,16,3,4
201,1.3611107,1,4,32,9,1,3,16,3,5
202,0.3888888,1,4,27,9,2,2,12,4,2
203,2.041666,1,5,27,6,0,1,16,5,2
204,2.545454,1,4,32,16.5,3,2,14,5,4
205,4.7999992,1,2,42,2.5,0,4,20,6,5
206,0.3478261,1,2,42,23,5.5,4,14,3,6
207,0.3478261,1,4,42,23,4,2,12,3,2
208,4.7999992,1,3,22,2.5,0,3,16,5,5
209,1.3999996,1,2,22,2.5,0,3,14,3,5
210,4.7999992,1,4,22,2.5,0,3,14,3,3
211,0.2121212,1,4,32,16.5,4,3,14,4,4
212,0.9423077,1,5,32,13,2,4,17,4,5
213,1.5076914,1,4,32,13,3,4,12,3,5
214,1.3611107,1,5,27,9,2,1,14,4,4
215,0.5833333,1,4,27,6,1,4,16,3,4
216,1.333333,1,4,27,9,2,3,12,2,4
217,0.7424242,1,1,37,16.5,3,2,17,4,4
218,1.3611107,1,3,27,9,3,2,12,4,5
219,4.666666,1,2,27,6,0,2,14,3,4
220,25.5999908,1,3,22,2.5,1,2,14,2,2
221,4.8999996,1,4,22,2.5,1,3,12,3,4
222,1.3999996,1,4,27,2.5,0,2,14,4,4
223,0.5217391,1,1,42,23,2,3,12,3,5
224,3.2666645,1,5,27,6,2,4,14,5,5
225,0.5833333,1,5,27,6,0,1,12,4,2
226,0.1521739,1,4,37,23,2,3,12,3,5
227,0.1666666,1,4,22,6,2,2,12,3,4
228,0.9423077,1,1,32,13,1,3,14,3,1
229,0.5833333,1,5,22,6,1,1,16,3,5
230,2,1,5,27,6,0,1,14,3,5
231,3.2666645,1,5,27,6,1,1,17,4,5
232,1.1878777,1,4,37,16.5,1,2,14,2,5
233,2.1777763,1,4,27,9,2,2,12,2,2
234,0.1521739,1,4,42,23,4,1,12,3,4
235,2.1538458,1,4,32,13,0,3,12,2,2
236,0.9230769,1,5,32,13,2,3,12,2,2
237,0.8521735,1,4,42,23,4,1,17,4,4
238,0.5326087,1,4,37,23,4,2,14,4,3
239,1.1878777,1,4,32,16.5,2,2,14,3,6
240,3.2307692,1,4,27,13,4,3,12,2,4
241,0.1521739,1,5,37,23,3,2,12,3,2
242,0.0769231,1,2,32,13,0,3,9,6,2
243,3.4461536,1,5,32,13,2,1,14,4,6
244,0.1666666,1,4,27,6,1,2,14,4,2
245,4.7999992,1,5,27,2.5,0,3,20,4,5
246,0.5217391,1,2,42,23,3,3,14,4,2
247,0.5833333,1,3,27,6,0,1,14,3,2
248,2.041666,1,4,27,6,1,2,12,3,4
249,3.1999998,1,2,22,2.5,0,3,12,3,3
250,7.8399963,1,3,27,2.5,0,3,12,2,2
251,0.8521735,1,4,42,23,2,2,17,5,2
252,0.9230769,1,5,32,13,2,1,14,2,5
253,2.1538458,1,5,32,13,0,1,12,5,4
254,0.3888888,1,4,27,9,2,2,16,4,5
255,0.1521739,1,5,42,23,4,3,17,4,4
256,0.1111111,1,3,27,9,3,1,16,4,5
257,0.9230769,1,5,42,13,0,2,14,5,3
258,0.2121212,1,5,32,16.5,2,2,16,5,5
259,1.826086,1,1,42,23,2,1,12,3,3
260,0.5833333,1,4,27,6,0,1,12,3,4
261,1.9478254,1,5,42,23,3,2,12,5,4
262,1.333333,1,4,27,9,2,3,16,4,5
263,0.0769231,1,2,32,13,3,3,20,4,5
264,11.1999998,1,4,22,2.5,0,2,12,3,2
265,0.7272727,1,3,32,16.5,3,2,12,3,2
266,2,1,5,27,6,1,3,12,5,2
267,3.1999998,1,3,27,2.5,0,1,12,3,4
268,1.3999996,1,5,22,2.5,0,2,16,4,6
269,0.9230769,1,3,32,13,0,2,16,4,5
270,0.7424242,1,4,37,16.5,2,2,20,4,2
271,2.041666,1,4,27,6,1,2,17,4,5
272,0.1521739,1,4,37,23,4,2,12,3,2
273,4.8999996,1,4,22,2.5,2,2,14,3,5
274,1.333333,1,3,27,6,1,3,17,4,4
275,1.1878777,1,4,32,16.5,3,4,12,3,5
276,7.4666672,1,5,22,6,2,3,14,3,5
277,0.0769231,1,4,32,13,2,3,14,3,2
278,1.3611107,1,4,27,9,1,1,14,2,5
279,0.7272727,1,3,32,16.5,2,2,12,3,4
280,0.0769231,1,4,27,13,2,2,12,3,2
281,0.3888888,1,5,27,9,1,3,12,2,3
282,16,1,3,27,9,0,1,12,3,4
283,4.9777775,1,4,27,9,0,3,14,5,6
284,7.8399963,1,3,22,2.5,0,1,12,3,2
285,0.0769231,1,3,32,13,2,3,20,4,5
286,0.5326087,1,4,42,23,5.5,2,14,5,3
287,4.8999996,1,5,22,2.5,0,2,16,3,4
288,0.3888888,1,5,27,9,1,2,14,4,5
289,0.2692307,1,5,37,13,2,3,14,4,3
290,1.3999996,1,5,27,2.5,1,3,16,3,3
291,0.5833333,1,4,27,6,0,2,14,3,2
292,7.8399963,1,5,22,2.5,0,2,12,4,4
293,1.333333,1,5,27,6,1,3,12,2,3
294,1.333333,1,4,32,9,2,2,16,5,5
295,2.041666,1,4,32,6,2,3,14,4,2
296,11.1999998,1,2,22,2.5,1,2,17,2,2
297,4.7999992,1,5,27,2.5,0,2,17,5,5
298,1.1878777,1,5,37,16.5,3,2,14,4,4
299,4.7999992,1,3,27,2.5,1,3,14,5,3
300,0.1666666,1,4,27,6,1,1,14,3,4
301,3.2666645,1,5,27,6,2,3,12,2,4
302,1.217391,1,4,42,23,3,2,12,3,2
303,0.5833333,1,3,27,6,2,3,14,3,5
304,2,1,5,22,6,1,3,14,1,4
305,0.5326087,1,5,37,23,3,2,12,3,4
306,1.1878777,1,3,37,16.5,3,3,12,3,4
307,0.5217391,1,4,42,23,4,2,9,4,4
308,0.5217391,1,4,42,23,3,3,12,3,5
309,0.1521739,1,4,37,23,2,2,16,4,6
310,0.4848484,1,5,32,16.5,4,1,12,2,1
311,1.333333,1,4,27,6,2,3,14,2,6
312,1.1878777,1,3,32,16.5,2,2,12,2,2
313,0.5833333,1,2,27,6,1,2,12,3,2
314,4.7999992,1,4,22,2.5,0,1,14,3,4
315,0.5833333,1,3,22,6,1,2,14,3,2
316,0.1666666,1,2,27,6,0,3,12,3,3
317,3.2666645,1,4,27,6,1,2,12,2,5
318,4.8999996,1,3,22,2.5,1,1,12,5,5
319,1.1878777,1,2,37,16.5,3,2,14,3,5
320,3.2307692,1,5,32,13,2,2,16,4,2
321,1.3999996,1,5,22,2.5,0,1,12,3,2
322,0.5833333,1,4,22,6,1,3,14,4,1
323,2,1,4,22,0.5,0,2,12,5,2
324,1.3999996,1,3,27,2.5,0,2,20,4,4
325,1.3999996,1,5,27,2.5,0,3,12,2,2
326,1.3999996,1,4,22,2.5,0,3,14,3,2
327,2.7151508,1,4,42,16.5,2,1,16,4,5
328,1.5076914,1,5,32,13,1,2,12,5,2
329,0.9230769,1,5,32,13,3,3,14,3,5
330,4.7999992,1,5,32,2.5,0,3,14,4,2
331,0.9423077,1,3,32,13,1,1,16,4,5
332,1.217391,1,5,42,23,2,3,14,5,6
333,2.041666,1,4,27,6,1,1,14,3,2
334,1.1878777,1,3,37,16.5,4,3,12,2,5
335,0.2121212,1,5,37,16.5,2,2,12,2,4
336,1.333333,1,2,32,9,1,2,12,3,3
337,0.2692307,1,2,32,13,0,2,14,5,4
338,2,1,4,22,0.5,0,1,12,3,4
339,0.1666666,1,4,22,6,0,1,12,3,4
340,0.2121212,1,3,37,16.5,3,3,12,2,2
341,3.1999998,1,3,27,2.5,0,2,17,4,5
342,0.4,1,3,22,2.5,0,2,17,5,4
343,0.7272727,1,4,32,16.5,2,2,14,3,4
344,0.4848484,1,4,42,16.5,2,3,17,5,6
345,1.1878777,1,4,32,16.5,5.5,3,12,2,2
346,0.6153846,1,3,32,13,2,3,14,2,2
347,0.8521735,1,4,42,23,2,2,20,4,5
348,4.666666,1,3,32,9,1,2,16,4,3
349,1.3999996,1,4,22,2.5,0,2,14,3,2
350,5.818181,1,3,37,16.5,3,3,12,3,3
351,0.5217391,1,3,42,23,3,1,14,3,4
352,0.7424242,1,1,32,16.5,3,3,12,4,2
353,2.545454,1,2,37,16.5,5.5,2,12,2,5
354,2.1777763,1,5,32,9,0,3,12,3,5
355,2.7151508,1,2,32,16.5,4,2,14,3,5
356,16.7999878,1,3,22,2.5,0,2,17,4,1
357,4.8999996,1,5,32,2.5,0,2,16,5,5
358,0.1666666,1,3,27,6,1,1,17,4,5
359,3.2666645,1,4,27,6,0,1,17,4,1
360,0.2121212,1,3,37,16.5,2,2,14,4,2
361,0.2121212,1,4,37,16.5,2,1,14,3,3
362,0.5217391,1,5,42,23,2,3,14,3,4
363,0.9230769,1,4,32,13,2,1,17,4,2
364,4.9777775,1,3,27,9,0,1,14,3,5
365,0.9423077,1,3,32,13,2,1,12,3,6
366,2.041666,1,3,27,6,2,3,17,4,6
367,0.7272727,1,2,37,16.5,3,2,12,2,4
368,0.1666666,1,2,22,6,2,1,14,3,4
369,4.8999996,1,3,17.5,2.5,1,3,12,4,2
370,0.1666666,1,3,27,6,3,2,14,2,2
371,1.3999996,1,3,22,2.5,0,1,12,2,5
372,1.826086,1,4,42,23,3,2,14,3,5
373,2,1,2,27,6,2,3,14,3,3
374,2.545454,1,4,32,16.5,5.5,2,14,3,2
375,0.4,1,4,27,2.5,0,3,12,3,5
376,2,1,4,27,6,2,3,12,3,2
377,4.7999992,1,4,27,2.5,0,3,16,4,5
378,4.666666,1,5,27,6,0,1,16,4,5
379,0.5833333,1,2,22,6,2,2,12,2,3
380,4.7999992,1,3,27,2.5,0,1,20,4,4
381,0.7272727,1,4,32,16.5,3,3,14,3,5
382,0.9423077,1,5,32,13,1,3,17,4,4
383,7.8399963,1,3,22,2.5,1,2,12,2,4
384,1.3999996,1,4,22,2.5,0,1,14,3,3
385,1.333333,1,5,32,9,2,3,16,4,4
386,0.4,1,5,32,2.5,0,3,14,5,4
387,1.333333,1,5,27,9,2,1,14,2,4
388,0.8888888,1,4,32,9,1,2,14,5,5
389,1.3999996,1,4,22,2.5,0,2,14,3,5
390,2.9217386,1,4,42,23,1,3,12,3,3
391,1.333333,1,4,27,9,2,2,16,4,4
392,0.4848484,1,4,32,16.5,3,2,17,4,2
393,7.4666672,1,4,27,6,2,2,16,4,5
394,0.7272727,1,4,37,16.5,2,2,14,4,5
395,4.666666,1,5,27,6,1,3,16,4,4
396,4.666666,1,2,27,6,1,2,12,2,2
397,3.1999998,1,4,22,2.5,1,1,12,2,2
398,0.9423077,1,3,37,13,1,2,12,3,2
399,0.1521739,1,4,42,23,2,2,14,3,5
400,0.4,1,5,22,2.5,0,1,14,3,2
401,4.173913,1,3,42,23,2,1,17,4,6
402,0.7272727,1,4,32,16.5,2,3,12,3,4
403,0.0606061,1,1,32,16.5,3,3,14,3,4
404,0.9230769,1,5,27,13,2,3,12,3,2
405,3.2666645,1,3,27,6,0,1,17,5,4
406,0.5326087,1,5,42,23,5.5,2,14,4,4
407,0.0606061,1,4,32,16.5,1,3,16,4,5
408,4.7999992,1,2,22,2.5,0,1,12,3,2
409,0.5326087,1,2,42,23,1,3,14,4,2
410,0.5833333,1,2,22,6,0,2,12,3,4
411,0.5833333,1,4,27,6,0,1,16,5,1
412,1.826086,1,4,42,23,1,4,17,3,2
413,0.3478261,1,5,42,23,2,1,12,3,2
414,2,1,4,27,6,2,2,16,4,2
415,1.3999996,1,3,22,2.5,0,1,12,3,2
416,3.4461536,1,3,27,13,3,2,14,5,5
417,2.1538458,1,4,32,13,2,2,14,4,5
418,0.3888888,1,4,27,9,3,3,14,4,3
419,0.3888888,1,3,32,9,1,2,14,3,4
420,1.333333,1,3,27,9,2,1,14,4,2
421,1.1878777,1,5,37,16.5,5.5,3,12,2,2
422,4.666666,1,3,27,6,1,4,14,3,5
423,4.666666,1,2,27,9,1,1,14,5,3
424,7.8399963,1,4,27,2.5,0,2,17,4,6
425,1.5076914,1,4,32,13,1,1,20,4,4
426,1.9478254,1,1,42,23,4,3,12,3,4
427,0.7424242,1,4,32,16.5,1,1,14,5,5
428,0.5217391,1,1,42,23,5.5,2,12,2,2
429,1.5076914,1,4,37,13,1,2,12,3,5
430,1.1878777,1,4,32,16.5,2,2,14,5,5
431,0.0434783,1,4,42,23,3,2,14,4,4
432,2.041666,1,5,27,6,1,3,14,3,6
433,0.7272727,1,3,37,16.5,4,3,12,3,2
434,0.1521739,1,3,37,23,3,3,9,4,2
435,2.545454,1,4,37,16.5,2,2,12,3,4
436,1.333333,1,3,27,6,2,1,14,4,5
437,1.5076914,1,4,37,13,0,3,12,3,2
438,4.8999996,1,2,27,2.5,1,3,16,4,4
439,0.5326087,1,4,42,23,5.5,3,12,5,5
440,0.7424242,1,3,32,16.5,3,2,12,2,2
441,0.2121212,1,4,37,16.5,3,2,12,5,2
442,0.9230769,1,3,42,13,0,3,12,4,4
443,0.6153846,1,4,37,13,4,3,14,4,2
444,1.1878777,1,2,32,16.5,4,2,14,5,4
445,2.1538458,1,3,27,13,2,1,14,4,4
446,0.4,1,5,22,2.5,0,2,14,4,5
447,0.4,1,4,22,2.5,1,2,14,4,5
448,17.9199982,1,3,32,2.5,0,1,16,4,5
449,3.2666645,1,5,27,6,2,3,14,3,5
450,0.0606061,1,5,32,16.5,3,4,12,2,3
451,0.5217391,1,2,42,23,2,3,16,4,5
452,0.5833333,1,5,22,6,2,3,14,2,4
453,0.0434783,1,5,42,23,2,1,14,4,5
454,0.5833333,1,4,22,6,0,2,14,3,3
455,0.7272727,1,3,32,16.5,4,3,14,3,4
456,0.7272727,1,3,32,16.5,2,2,14,3,5
457,0.7272727,1,4,42,16.5,1,3,17,4,5
458,0.2121212,1,1,37,16.5,3,2,12,3,5
459,0.0769231,1,3,32,13,1,3,20,4,4
460,1.3999996,1,3,27,2.5,0,3,14,5,5
461,16.7999878,1,5,22,2.5,2,1,14,5,4
462,0.5217391,1,3,42,23,5.5,3,12,3,2
463,0.3888888,1,4,27,9,2,3,12,2,2
464,1.1878777,1,3,32,16.5,2,3,12,2,4
465,2.545454,1,4,32,16.5,3,2,14,3,4
466,1.3999996,1,3,27,2.5,2,2,16,4,4
467,4.666666,1,4,32,6,2,2,14,4,4
468,1.9478254,1,1,42,23,2,1,12,2,3
469,3.1999998,1,4,22,2.5,0,2,16,5,1
470,2,1,3,22,6,0,2,12,3,4
471,2.9217386,1,2,42,23,5.5,3,17,4,4
472,3.2307692,1,3,27,13,2,2,12,2,4
473,0.3888888,1,4,27,9,2,3,12,2,2
474,2.545454,1,5,32,16.5,3,3,17,4,4
475,0.0606061,1,5,32,16.5,2,1,14,4,6
476,1.1878777,1,5,32,16.5,3,3,14,2,5
477,1.3611107,1,3,27,9,2,2,12,2,3
478,0.5833333,1,2,27,6,1,3,12,4,4
479,7.8399963,1,4,22,2.5,2,2,12,5,2
480,3.2666645,1,5,27,6,2,4,20,4,4
481,4.7999992,1,3,22,2.5,0,2,14,3,2
482,7.4666662,1,2,32,9,0,1,16,5,4
483,0.7272727,1,4,37,16.5,2,3,16,3,6
484,1.217391,1,4,42,23,2,3,12,3,2
485,7.8399963,1,5,22,2.5,0,3,14,3,4
486,1.333333,1,5,32,9,1,2,14,2,4
487,0.4848484,1,4,37,16.5,2,3,12,3,6
488,1.3999996,1,3,22,2.5,0,3,12,3,4
489,0.7272727,1,4,37,16.5,4,2,12,3,5
490,1.3999996,1,4,27,2.5,0,3,17,4,1
491,2.041666,1,3,27,6,0,1,14,3,5
492,0.7424242,1,5,32,16.5,2,2,20,4,4
493,0.4,1,2,22,2.5,1,2,12,5,5
494,0.7424242,1,4,42,16.5,2,1,14,5,4
495,1.5076914,1,5,42,13,3,4,14,2,2
496,0.2692307,1,5,32,13,1,3,16,6,6
497,0.0769231,1,5,37,13,0,1,14,4,5
498,3.2666645,1,2,22,6,0,1,20,6,4
499,4.8999996,1,4,22,2.5,0,2,12,3,4
500,0.7272727,1,4,32,16.5,1,2,12,3,4
501,1.333333,1,4,27,6,2,2,12,2,2
502,0.7272727,1,2,37,16.5,2,2,12,3,3
503,3.2666645,1,3,22,6,2,3,12,3,2
504,3.2307692,1,4,27,13,2,2,16,4,5
505,2,1,4,22,6,1,2,12,2,5
506,7,1,4,17.5,0.5,0,3,14,3,4
507,7.8399963,1,5,27,2.5,0,2,17,5,1
508,1.333333,1,5,27,9,1,3,14,3,4
509,4.7999992,1,2,22,2.5,1,3,12,2,2
510,0.8521735,1,4,42,23,5.5,3,9,2,4
511,1.696969,1,3,32,16.5,3,3,14,4,5
512,0.9423077,1,4,37,13,1,1,12,5,5
513,0.7272727,1,2,32,16.5,3,2,12,3,5
514,0.2692307,1,4,32,13,2,2,14,2,5
515,0.4,1,4,22,2.5,0,2,14,1,1
516,4.8999996,1,5,22,2.5,0,2,12,3,2
517,1.1878777,1,4,32,16.5,3,2,12,4,2
518,0.2121212,1,4,37,16.5,3,2,12,3,3
519,0.5217391,1,5,42,23,4,3,14,5,5
520,0.3888888,1,5,27,9,2,1,9,3,4
521,0.1111111,1,5,32,9,0,2,17,3,2
522,0.1521739,1,2,42,23,3,4,12,4,5
523,0.5217391,1,4,42,23,2,3,12,3,2
