"","CODERESP","weight.coefficient","Country","Country.code","DURINT","Date.of.interview","CATI/CAWI","Language","A1","A2_01","A2_02","A2_03","A2_04","A2_05","A3","Q00A","Q00B","Q00C_1","Q01","Q02","Q03_1","Q04_1","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16B_1","Q16B_2","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q18MODE","Q18_01","Q18_02","Q18_03","Q18_04","Q18_05","Q18_06","Q18_07","Q18_08","Q18_09","Q18_10","Q18_11","Q18_12","Q18_13","Q18@_13","Q18B","Q18C","Q18D","Q18E_1","Q18E_2","Q18E_3","Q18E_4","Q18E_5","Q18E_6","Q18E_7","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q20_01","Q20_02","Q20_03","Q20_04","Q21","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25NEW","coderesp"
"12",2389673,10518.7874502223,"Spain","ES",12.05,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"2","2",39,"28982","1","1",NA,"28014","4","1",4,3,"3","-1","4",2,1,2,0,1,2,2,2,2,2,1,3,0,2,2,2,2,2,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,2,1,1,3,2,3,2,2,1,1,1,1,2,2,2,0,1,0,0,3,1,-1,-1,-1,-1,-1,-1,4,2389673
"13",2389674,1186.42793740075,"Spain","ES",3.91666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",24,"09003","1","1",NA,"15706","7","1",3,3,"5","-1","4",1,0,1,0,1,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389674
"14",2389675,7103.41947494809,"Spain","ES",7.25,"2021-04-04","CAWI","Spanish","2",NA,NA,NA,"-1",NA,"-1","1",54,"08041","1","1",NA,"08041","4","1",3,3,"3","-1","4",1,0,1,0,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,2,1,1,2,2,3,2,3,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2389675
"15",2389676,1570.8880104414,"Spain","ES",6.46666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",47,"28009","2","1",NA,"28015","7","1",2,1,"4","-1","4",1,0,1,0,1,2,1,2,2,2,2,99999997,0,2,1,2,1,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2389676
"16",2389677,1789.92778904867,"Spain","ES",8.13333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",44,"08016","1","1",NA,"08021","6","1",3,2,"3","-1","4",1,0,1,0,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,5,2389677
"17",2389678,2954.61644486174,"Spain","ES",8.76666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",42,"42003","1","1",NA,"42003","6","1",4,2,"3","-1","4",1,1,4,0,1,1,2,2,2,2,1,3,3,2,2,2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,1,4,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2389678
"18",2389681,2586.76847072817,"Spain","ES",4.16666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",38,"04700","1","1",NA,"04700","5","1",4,3,"3","-1","4",2,1,2,0,1,2,1,2,2,2,2,4,4,2,2,2,2,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,2,1,1,2,2,2,2,3,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389681
"19",2389682,1789.92778904867,"Spain","ES",7.2,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",44,"33401","2","1",NA,"33490","6","1",3,2,"3","-1","4",2,0,2,0,1,1,1,2,2,2,1,3,3,2,2,2,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,2,1,1,3,4,1,1,4,3,1,3,2,1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,4,4,2389682
"20",2389684,1866.72509501602,"Spain","ES",8.1,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"2","1",28,"28922","1","1",NA,"28022","7","1",3,2,"3","-1","4",1,8,3,0,2,2,2,2,2,2,1,0,0,2,2,1,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,3,3,3,4,4,2,1,1,1,3,3,1,0,1,0,0,2,2,1,3,4,-1,-1,4,4,2389684
"21",2389686,1966.27281757957,"Spain","ES",9.88333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",34,"15005","1","1",NA,"15010","5","1",3,2,"3","-1","4",1,0,2,0,1,2,2,2,2,2,1,0,0,2,2,2,1,1,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,4,1,4,1,1,1,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389686
"22",2389690,10398.7566640672,"Spain","ES",8.13333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","1",33,"35240","1","1",NA,"35200","3","1",2,2,"2","-1","4",2,0,0,0,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,1,"Puedo llevar la compra mejor",2,2,2,4,4,4,4,3,2,4,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2389690
"23",2389691,1731.88409383233,"Spain","ES",6.3,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",33,"48002","1","1",NA,"48005","7","1",4,2,"3","-1","2",2,1,4,6,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,1,3,3,3,2,3,1,2,1,3,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389691
"24",2389693,1977.44856654599,"Spain","ES",8.88333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","1",24,"48007","1","1",NA,"48006","7","1",5,5,"4","-1","4",2,0,1,1,1,2,1,2,2,2,2,5,3,2,1,2,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,2,3,2,3,1,3,3,3,2,1,1,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,3,-1,-1,3,2389693
"25",2389699,2053.69270802334,"Spain","ES",13.5833333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","1",46,"08002","1","1",NA,"08002","8","1",4,3,"3","-1","4",2,1,3,1,1,1,2,2,2,2,1,4,0,2,2,1,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,3,3,3,2,1,1,2,2,1,2,2,1,-1,-1,-1,-1,-1,2,1,-1,4,-1,-1,3,5,2389699
"26",2389700,1706.51743156165,"Spain","ES",5.88333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",27,"08035","1","1",NA,"08032","7","1",2,2,"2","-1","4",1,1,1,0,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389700
"27",2389701,11880.7193874581,"Spain","ES",7.08333333333333,"2021-04-04","CAWI","Spanish","2",NA,NA,NA,"-1",NA,"-1","1",48,"36417","1","1",NA,"36200","3","1",5,5,"3","-1","4",1,1,1,0,1,2,1,2,2,2,2,5,2,2,2,2,1,1,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389701
"28",2389702,8489.61627002074,"Spain","ES",15.5666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",52,"15010","1","1",NA,"15010","4","1",5,4,"3","-1","4",2,0,2,0,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,3,4,3,4,3,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,3,2389702
"29",2389704,10187.4021598521,"Spain","ES",7.55,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",30,"46950","1","1",NA,"46950","2","1",1,1,"1","2","-1",1,1,1,0,1,1,1,1,1,1,1,-1,-1,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,1,1,1,2,2389704
"30",2389708,1685.67527407315,"Spain","ES",18.0666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",28,"28043","1","1",NA,"28043","7","1",3,3,"5","-1","4",1,0,0,0,2,2,2,1,1,1,2,0,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,2,4,4,4,1,1,1,2,1,1,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,4,-1,-1,4,2389708
"31",2389712,2144.15557200174,"Spain","ES",10,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",37,"28027","1","1",NA,"28080","7","1",4,2,"3","-1","4",1,0,1,0,1,2,2,2,2,2,1,3,3,2,2,1,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,2,2,1,4,1,4,2,2,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2389712
"32",2389713,2678.5147924815,"Spain","ES",7.2,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",64,"39590","7","-1",NA,NA,"7","1",1,1,"1","2","-1",2,0,1,0,2,2,2,1,1,2,1,-1,-1,-1,-1,-1,2,2,-1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2389713
"33",2389714,2033.64518311872,"Spain","ES",5.9,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",26,"33800","1","1",NA,"33013","6","1",3,2,"3","-1","4",1,0,2,0,1,2,2,2,2,2,2,3,0,2,2,2,1,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,2,1,1,1,1,3,2,3,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2389714
"34",2389715,1967.06212622281,"Spain","ES",17.3833333333333,"2021-04-08","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",42,"43840","1","1",NA,"43840","7","1",4,2,"3","-1","4",1,0,1,1,2,2,2,2,2,2,2,0,0,2,2,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,NA,2,1,2,2,2,3,4,2,4,2,2,1,2,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,4,4,5,2389715
"35",2389716,1731.88409383233,"Spain","ES",5.2,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","2",30,"08001","1","2",NA,"08001","6","1",4,3,"3","-1","4",2,1,4,2,1,2,2,2,2,2,1,4,3,2,1,1,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,3,3,3,1,1,1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2389716
"36",2389720,1731.88409383233,"Spain","ES",8.93333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","2",30,"35110","1","1",NA,"35110","8","1",5,1,"3","-1","3",3,1,2,1,1,2,2,2,2,2,1,3,2,2,1,1,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,2,1,1,2,1,2,2,1,3,1,1,1,2,1,1,0,0,0,1,1,1,-1,-1,1,-1,3,4,2389720
"37",2389723,7389.41896464567,"Spain","ES",8.05,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",29,"03540","1","2",NA,"03540","3","1",2,2,"2","-1","4",1,1,0,1,1,2,2,2,2,2,1,0,0,2,2,1,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,2,1,2,1,1,4,1,3,4,4,1,1,1,1,2,0,0,1,0,3,1,-1,-1,-1,4,4,-1,4,2389723
"38",2389728,1873.30981595041,"Spain","ES",6.41666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","2",41,"11591","1","1",NA,"11591","6","1",2,2,"2","-1","4",2,0,1,0,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,3,4,2,4,2,4,4,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2389728
"39",2389729,1794.05475619199,"Spain","ES",5.3,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",35,"28053","1","1",NA,"28015","6","1",3,2,"3","-1","4",2,0,0,0,1,2,2,2,2,2,2,1,0,2,2,2,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,2,1,1,2,4,2,4,1,4,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2389729
"40",2389730,1866.72509501602,"Spain","ES",5.43333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","1",27,"30800","2","1",NA,"30800","7","1",3,3,"5","-1","4",2,0,2,0,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,3,1,2,1,1,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,2389730
"41",2389731,1718.36279918177,"Spain","ES",5.26666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",47,"32002","3","-1",NA,NA,"6","1",3,2,"3","-1","4",0,0,0,0,2,2,2,1,2,2,1,0,0,-1,-1,-1,2,-1,-1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,2,4,4,4,1,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,2,2389731
"42",2389733,2139.22324785429,"Spain","ES",20.2666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",41,"49028","1","1",NA,"28005","8","1",5,3,"3","-1","4",3,2,3,2,2,2,2,2,2,2,2,0,0,2,2,2,1,1,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,0,0,1,1,-1,-1,-1,-1,2,-1,4,2389733
"43",2389736,1835.43525415657,"Spain","ES",9.73333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","2",39,"02004","1","1",NA,"02004","8","1",3,2,"3","-1","4",2,0,2,0,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,2,2,4,2,4,2,2,1,2,1,2,2,1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,4,3,2389736
"44",2389737,1966.27281757957,"Spain","ES",10.35,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",33,"28039","1","1",NA,"28039","6","1",3,3,"3","-1","4",2,1,1,1,2,2,1,2,2,1,1,3,3,1,1,2,1,1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,2,3,2,2,2,3,3,3,1,1,1,1,1,0,1,0,0,1,1,3,-1,-1,1,2,2,3,2389737
"45",2389738,1938.55965619695,"Spain","ES",14.2333333333333,"2021-04-04","CAWI","Spanish","2",NA,NA,NA,"-1",NA,"-1","2",46,"18003","3","-1",NA,NA,"6","1",3,3,"3","-1","4",1,0,1,1,1,2,1,2,2,1,1,1,0,2,-1,2,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,3,3,4,3,1,1,1,2,2,2,2,0,0,1,0,3,-1,-1,-1,-1,-1,-1,-1,2,2389738
"46",2389741,10242.1074210434,"Spain","ES",11.8833333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",52,"24191","1","1",NA,"24001","4","1",5,5,"3","-1","4",2,1,4,0,1,2,1,2,2,2,1,3,3,2,1,2,1,1,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,NA,1,1,1,3,2,2,3,3,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389741
"47",2389742,2139.22324785429,"Spain","ES",7,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",42,"29001","1","1",NA,"29001","7","1",4,3,"3","-1","4",2,0,0,0,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2389742
"48",2389743,1789.92778904867,"Spain","ES",7.35,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",43,"09007","1","2",NA,"09007","7","2",3,3,"5","-1","4",1,0,0,0,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,3,2389743
"49",2389744,2231.0071641123,"Spain","ES",8.03333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",26,"48903","1","1",NA,"48903","8","1",4,4,"3","-1","4",2,0,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,1,2,3,3,2,3,1,3,1,1,1,1,2,2,1,1,0,1,0,2,1,2,2,-1,-1,-1,2,2,2389744
"50",2389745,2014.62637581989,"Spain","ES",12.6166666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",26,"08004","1","2",NA,"08015","7","1",4,4,"5","-1","4",2,2,1,0,2,2,2,2,2,2,2,0,0,2,2,1,1,1,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,2,3,4,4,3,2,2,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,3,2389745
